layer,transform,alpha,head,perturb_scale,rel_delta_fro,rel_delta_2
layer_1,raw,,1,0.001,0.0006988131365058558,0.0005142167114396362
layer_1,raw,,1,0.01,0.006850132710524459,0.0047265776366471135
layer_1,raw,,2,0.0001,7.557608447954426e-05,5.690789731633164e-05
layer_1,raw,,2,0.001,0.000763205643476884,0.0005961246587798484
layer_1,raw,,2,0.01,0.007867455377354587,0.006031921660501672
layer_1,raw,,3,0.0001,6.669377530910657e-05,4.83083647616036e-05
layer_1,raw,,3,0.001,0.0006488726703141465,0.0005367102241107908
layer_1,raw,,3,0.01,0.007561387363947157,0.005903327233782973
layer_1,raw,,4,0.0001,9.118314148643792e-05,7.719708927654922e-05
layer_1,raw,,4,0.001,0.0009248320431864335,0.0007685167980928325
layer_1,raw,,4,0.01,0.009001124172823461,0.007551425764591984
layer_1,raw,,5,0.0001,9.53835744641353e-05,5.645146725595377e-05
layer_1,raw,,5,0.001,0.0008502150278488981,0.0005330839309549399
layer_1,raw,,5,0.01,0.008556855755692754,0.005882177444488871
layer_1,raw,,6,0.0001,6.697109386156111e-05,3.792287643152304e-05
layer_1,raw,,6,0.001,0.0007444512053065244,0.0005120202467622791
layer_1,raw,,6,0.01,0.007730613559323941,0.006024771497959509
layer_1,raw,,7,0.0001,8.393216354643099e-05,5.9113591424941994e-05
layer_1,raw,,7,0.001,0.000755380256171876,0.0005867021891039116
layer_1,raw,,7,0.01,0.007569114517467478,0.005991427886681783
layer_1,raw,,8,0.0001,6.648947992504322e-05,4.6576993442777195e-05
layer_1,raw,,8,0.001,0.0006699718896568859,0.0004760570663249272
layer_1,raw,,8,0.01,0.006087105846457562,0.0039313403409545885
layer_1,raw,,9,0.0001,9.189583927548022e-05,7.573737453430918e-05
layer_1,raw,,9,0.001,0.0008900044321653815,0.0006736652149039458
layer_1,raw,,9,0.01,0.009183071345529759,0.007044029781724579
layer_1,raw,,10,0.0001,8.091069200143997e-05,5.9989656170193584e-05
layer_1,raw,,10,0.001,0.0007913217549772377,0.0005957816361610135
layer_1,raw,,10,0.01,0.009576491685827014,0.007359900282297097
layer_1,raw,,11,0.0001,9.471288202499748e-05,6.216186174757891e-05
layer_1,raw,,11,0.001,0.0008995406459702597,0.0006275048881891977
layer_1,raw,,11,0.01,0.010658046139494082,0.007073645884001759
layer_1,raw,,0,0.0001,0.00010444481020562815,7.290076826112228e-05
layer_1,raw,,0,0.001,0.0008959323557104187,0.000553358835202484
layer_1,raw,,0,0.01,0.008548691879458092,0.006007216919396556
layer_1,raw,,1,0.0001,7.379167297283638e-05,6.0955905420384685e-05
