layer,matrix_type,transform,alpha,k,rel_fro_error
layer_2,G,raw,,32,0.08364495206753393
layer_2,G,raw,,64,0.044829940988303105
layer_2,G,raw,,128,0.014510731839479018
layer_2,X,ln,,1,0.8274952995375207
layer_2,X,ln,,2,0.7839089678730102
layer_2,X,ln,,4,0.7271051716586056
layer_2,X,ln,,8,0.6699525262429109
layer_2,X,ln,,16,0.6016896349291538
layer_2,X,ln,,32,0.5055975630588246
layer_2,X,ln,,64,0.3746969350949415
layer_2,X,ln,,128,0.21012053328384153
layer_2,G,ln,,1,0.3389258980226361
layer_2,G,ln,,2,0.2663393456355373
layer_2,G,ln,,4,0.1871680480156385
layer_2,G,ln,,8,0.14316874799621565
layer_2,G,ln,,16,0.1090840019320995
layer_2,G,ln,,32,0.07372557867451743
layer_2,G,ln,,64,0.04001129137053555
layer_2,G,ln,,128,0.01342037605199306
layer_2,X,dyt,0.25,1,0.9021274437411495
layer_2,X,dyt,0.25,2,0.8705179521543313
layer_2,X,dyt,0.25,4,0.8327668857834525
layer_2,X,dyt,0.25,8,0.7784370639509102
layer_2,X,dyt,0.25,16,0.7019005860814432
layer_2,X,dyt,0.25,32,0.5925655884674668
layer_2,X,dyt,0.25,64,0.437014938194254
layer_2,X,dyt,0.25,128,0.24124119537397284
layer_2,G,dyt,0.25,1,0.49510624683673155
layer_2,G,dyt,0.25,2,0.4204128311007472
layer_2,G,dyt,0.25,4,0.3625709372830846
layer_2,G,dyt,0.25,8,0.29836327916672095
layer_2,G,dyt,0.25,16,0.23107395909128234
layer_2,G,dyt,0.25,32,0.15971291294197684
layer_2,G,dyt,0.25,64,0.0862245234399178
layer_2,G,dyt,0.25,128,0.028007926877942065
layer_2,X,dyt,0.5,1,0.9201224360688721
layer_2,X,dyt,0.5,2,0.8885445177080351
layer_2,X,dyt,0.5,4,0.8501667551453717
layer_2,X,dyt,0.5,8,0.7944197681692463
layer_2,X,dyt,0.5,16,0.7161911281031974
layer_2,X,dyt,0.5,32,0.6044868040559201
layer_2,X,dyt,0.5,64,0.448104800073762
layer_2,X,dyt,0.5,128,0.24897398886185063
layer_2,G,dyt,0.5,1,0.5820726015521988
layer_2,G,dyt,0.5,2,0.49711397895723725
layer_2,G,dyt,0.5,4,0.429281851046843
layer_2,G,dyt,0.5,8,0.35249363227847413
layer_2,G,dyt,0.5,16,0.2724920522983821
layer_2,G,dyt,0.5,32,0.18746292987977073
layer_2,G,dyt,0.5,64,0.10234636475965399
layer_2,G,dyt,0.5,128,0.03375159824704585
layer_2,X,dyt,1.0,1,0.927688468612426
layer_2,X,dyt,1.0,2,0.8931257820948653
layer_2,X,dyt,1.0,4,0.854581304916432
layer_2,X,dyt,1.0,8,0.7981099054450134
layer_2,X,dyt,1.0,16,0.7206885420068433
layer_2,X,dyt,1.0,32,0.6099331041608655
layer_2,X,dyt,1.0,64,0.4553062305929749
layer_2,X,dyt,1.0,128,0.2578773319316065
layer_2,G,dyt,1.0,1,0.6310962288450863
layer_2,G,dyt,1.0,2,0.525011782328403
layer_2,G,dyt,1.0,4,0.4528567753036699
layer_2,G,dyt,1.0,8,0.369603037963044
layer_2,G,dyt,1.0,16,0.28654032716011596
layer_2,G,dyt,1.0,32,0.19770834504599474
layer_2,G,dyt,1.0,64,0.10913933168932467
layer_2,G,dyt,1.0,128,0.037394229722475227
layer_3,X,raw,,1,0.7428825616337686
layer_3,X,raw,,2,0.709337722923263
layer_3,X,raw,,4,0.6675368833874116
layer_3,X,raw,,8,0.616902469278414
layer_3,X,raw,,16,0.5525383947614727
layer_3,X,raw,,32,0.4654205602301168
layer_3,X,raw,,64,0.3456651365601677
layer_3,X,raw,,128,0.1992152715942977
layer_3,G,raw,,1,0.18094470491809253
layer_3,G,raw,,2,0.14598159553175669
layer_3,G,raw,,4,0.1149401369472813
layer_3,G,raw,,8,0.08956270554951506
layer_3,G,raw,,16,0.06715852248086772
layer_3,G,raw,,32,0.04559759148661915
layer_3,G,raw,,64,0.024505174917889932
layer_3,G,raw,,128,0.008526851116200008
layer_3,X,ln,,1,0.74789971545754
layer_3,X,ln,,2,0.7009670146549943
layer_3,X,ln,,4,0.6492112669552278
layer_3,X,ln,,8,0.5985741165835148
layer_3,X,ln,,16,0.5364994996441927
layer_3,X,ln,,32,0.4520359942439917
layer_3,X,ln,,64,0.3372794733071512
layer_3,X,ln,,128,0.19594612981874407
layer_3,G,ln,,1,0.21852569298190308
layer_3,G,ln,,2,0.1583568597461683
layer_3,G,ln,,4,0.11025331866683154
layer_3,G,ln,,8,0.08475695921483394
layer_3,G,ln,,16,0.06364266698869653
layer_3,G,ln,,32,0.04306466062318847
layer_3,G,ln,,64,0.023365611806344267
layer_3,G,ln,,128,0.008271361080763885
layer_3,X,dyt,0.25,1,0.8806926801801517
layer_3,X,dyt,0.25,2,0.8432595956712118
layer_3,X,dyt,0.25,4,0.8031871860042104
layer_3,X,dyt,0.25,8,0.7479757898173198
layer_3,X,dyt,0.25,16,0.6735807195749339
layer_3,X,dyt,0.25,32,0.5702043058217927
layer_3,X,dyt,0.25,64,0.42494384240777144
layer_3,X,dyt,0.25,128,0.2453697948144634
layer_3,G,dyt,0.25,1,0.4338525550812566
layer_3,G,dyt,0.25,2,0.34796716945977935
layer_3,G,dyt,0.25,4,0.29248254399573154
layer_3,G,dyt,0.25,8,0.23566619802062186
layer_3,G,dyt,0.25,16,0.1803766808844921
layer_3,G,dyt,0.25,32,0.12449732538784682
layer_3,G,dyt,0.25,64,0.06764296785741118
layer_3,G,dyt,0.25,128,0.023641247023791834
layer_3,X,dyt,0.5,1,0.9067272745428158
layer_3,X,dyt,0.5,2,0.8689500499664815
layer_3,X,dyt,0.5,4,0.8279143959200497
layer_3,X,dyt,0.5,8,0.7710689385909126
layer_3,X,dyt,0.5,16,0.6944641438843319
layer_3,X,dyt,0.5,32,0.5877664098809366
layer_3,X,dyt,0.5,64,0.4397787321842478
layer_3,X,dyt,0.5,128,0.25606023243702464
layer_3,G,dyt,0.5,1,0.5385475964870686
layer_3,G,dyt,0.5,2,0.43477497974634816
layer_3,G,dyt,0.5,4,0.3660001518069729
layer_3,G,dyt,0.5,8,0.294792898227207
layer_3,G,dyt,0.5,16,0.2255766614110516
layer_3,G,dyt,0.5,32,0.15502707266005084
layer_3,G,dyt,0.5,64,0.08476368717030804
layer_3,G,dyt,0.5,128,0.030271441226027474
layer_3,X,dyt,1.0,1,0.9186261453759456
layer_3,X,dyt,1.0,2,0.8790019150064146
layer_3,X,dyt,1.0,4,0.8382948199798653
layer_3,X,dyt,1.0,8,0.7809543165628645
layer_3,X,dyt,1.0,16,0.704656260332518
layer_3,X,dyt,1.0,32,0.5981241657823119
layer_3,X,dyt,1.0,64,0.45101887768722076
layer_3,X,dyt,1.0,128,0.26709551777294516
layer_3,G,dyt,1.0,1,0.6000936652839695
layer_3,G,dyt,1.0,2,0.4763627917656177
layer_3,G,dyt,1.0,4,0.4024038211520976
layer_3,G,dyt,1.0,8,0.3232268702928035
layer_3,G,dyt,1.0,16,0.2481991474297927
layer_3,G,dyt,1.0,32,0.17112625086988398
layer_3,G,dyt,1.0,64,0.09503091831259237
layer_3,G,dyt,1.0,128,0.03515099142563045
layer_4,X,raw,,1,0.6425558216075095
layer_4,X,raw,,2,0.6139319605426963
layer_4,X,raw,,4,0.5837421108198994
layer_4,X,raw,,8,0.5373015076880776
layer_4,X,raw,,16,0.4800003702304348
layer_4,X,raw,,32,0.40485493200754896
layer_4,X,raw,,64,0.30244019441705267
layer_4,X,raw,,128,0.1769709333492042
layer_4,G,raw,,1,0.10181421544706187
layer_4,G,raw,,2,0.0815632969656739
layer_4,G,raw,,4,0.06882417780292528
layer_4,G,raw,,8,0.05266468956662004
layer_4,G,raw,,16,0.03880289308037319
layer_4,G,raw,,32,0.026351951485056993
layer_4,G,raw,,64,0.01426535651543326
layer_4,G,raw,,128,0.0050765878953761565
layer_4,X,ln,,1,0.6655294302788198
layer_4,X,ln,,2,0.6115737081369212
layer_4,X,ln,,4,0.5626074725494874
layer_4,X,ln,,8,0.5148153841601673
layer_4,X,ln,,16,0.45949167719059325
layer_4,X,ln,,32,0.38809487319353564
layer_4,X,ln,,64,0.2906345309303215
layer_4,X,ln,,128,0.17156453977765826
layer_4,G,ln,,1,0.15917232940592344
layer_4,G,ln,,2,0.10209285374424916
layer_4,G,ln,,4,0.06842280438098894
